City,Country,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Weather_Description
Nikolskoye,RU,59.7035,30.7861,62.49,78,37,3.44,scattered clouds
Chizhou,CN,30.6578,117.4831,59.88,95,92,1.72,overcast clouds
Butaritari,KI,3.0707,172.7902,79.93,83,100,10.18,light rain
Rio Cuarto,AR,-33.1307,-64.3499,74.34,73,40,9.22,scattered clouds
Atar,MR,20.5169,-13.0499,73.56,62,100,4.38,light rain
Noyabrsk,RU,63.1994,75.4507,44.2,60,100,9.75,overcast clouds
Kifri,IQ,34.6959,44.9661,83.95,28,92,9.1,overcast clouds
Novikovo,RU,51.1537,37.8879,59.79,92,100,4.52,overcast clouds
Sept-Iles,CA,50.2001,-66.3821,53.6,78,100,8.05,overcast clouds
Kruisfontein,ZA,-34.0033,24.7314,63.03,28,55,6.96,broken clouds
Talnakh,RU,69.4865,88.3972,15.8,91,32,1.54,scattered clouds
Deputatskiy,RU,69.3,139.9,24.98,97,100,5.32,snow
Izvoarele Sucevei,RO,47.75,25.1833,51.1,93,95,1.19,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,73.27,81,100,9.15,overcast clouds
Souillac,MU,-20.5167,57.5167,73.81,80,6,4.12,clear sky
Klaksvik,FO,62.2266,-6.589,47.32,75,6,32.06,clear sky
Georgetown,MY,5.4112,100.3354,84.15,80,20,0.0,few clouds
Naryan-Mar,RU,67.6713,53.087,56.48,91,13,10.98,light rain
Baykit,RU,61.67,96.37,31.05,90,27,5.59,scattered clouds
Campbell River,CA,50.0163,-125.2446,66.45,55,20,6.91,few clouds
Galle,LK,6.0367,80.217,81.36,80,6,7.02,clear sky
Mount Gambier,AU,-37.8333,140.7667,57.87,70,100,12.17,light rain
Vitim,RU,59.4511,112.5578,37.94,94,56,3.49,broken clouds
Namatanai,PG,-3.6667,152.4333,75.76,95,100,7.7,heavy intensity rain
Nuevo Ideal,MX,24.8875,-105.0728,81.12,23,100,6.8,overcast clouds
Nova Gradiska,HR,45.255,17.3831,60.69,90,100,4.63,overcast clouds
Hobart,AU,-42.8794,147.3294,63.27,57,28,18.41,light rain
Kemijarvi,FI,66.7131,27.4306,49.37,86,100,12.33,overcast clouds
Bengkulu,ID,-3.8004,102.2655,75.97,91,16,3.96,few clouds
Ekibastuz,KZ,51.6667,75.3667,61.36,41,4,8.75,clear sky
Fort Nelson,CA,58.8053,-122.7002,62.19,45,75,8.05,broken clouds
Coquimbo,CL,-29.9533,-71.3436,65.93,68,0,11.5,clear sky
Ahipara,NZ,-35.1667,173.1667,55.51,88,3,5.64,clear sky
Bonavista,CA,48.6499,-53.1147,42.89,69,2,15.5,clear sky
Hovd,MN,48.0056,91.6419,48.78,55,90,4.25,overcast clouds
Salzwedel,DE,52.85,11.15,58.64,78,67,3.74,broken clouds
Malacky,SK,48.436,17.0219,61.05,86,7,8.66,clear sky
Campina Grande Do Sul,BR,-25.3056,-49.0553,72.09,69,0,3.31,clear sky
Avarua,CK,-21.2078,-159.775,78.85,73,100,11.5,overcast clouds
Amalfi,CO,6.9102,-75.0776,70.45,85,100,3.65,light rain
Jamestown,US,42.097,-79.2353,64.04,59,75,12.66,broken clouds
Port Hedland,AU,-20.3167,118.5667,59.05,55,0,9.22,clear sky
Nikolayevka,RU,53.1257,47.2041,62.85,51,22,6.04,few clouds
Nanortalik,GL,60.1432,-45.2371,34.03,98,100,7.2,snow
Lavrentiya,RU,65.5833,-171.0,32.11,88,96,6.08,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,73.22,77,6,4.97,clear sky
Cherskiy,RU,68.75,161.3,50.02,49,42,17.67,scattered clouds
Saint-Philippe,RE,-21.3585,55.7679,71.19,86,99,8.37,light rain
Bureya,RU,49.8133,129.8131,57.78,62,100,8.81,overcast clouds
Tiksi,RU,71.6872,128.8694,14.83,98,84,2.62,broken clouds
Katsuura,JP,35.1333,140.3,63.61,66,94,5.39,overcast clouds
Kihei,US,20.785,-156.4656,80.96,68,20,16.11,few clouds
Lejanias,CO,3.5251,-74.0216,77.36,91,88,3.29,overcast clouds
Clermont,FR,49.5,2.4167,60.44,85,100,7.23,overcast clouds
Kirando,TZ,-7.4167,30.6,77.11,70,77,3.0,broken clouds
Lebu,CL,-37.6167,-73.65,55.53,71,65,12.21,broken clouds
Grand-Lahou,CI,5.1367,-5.0242,80.89,86,99,8.9,overcast clouds
Lagoa,PT,39.05,-27.9833,61.81,73,19,17.87,few clouds
Rudnogorsk,RU,57.2639,103.7519,35.31,97,98,5.95,overcast clouds
Bend,US,44.0582,-121.3153,66.33,32,0,10.36,clear sky
Galesong,ID,-5.3166,119.3661,77.02,82,41,4.52,scattered clouds
East London,ZA,-33.0153,27.9116,68.07,39,5,8.9,clear sky
Caravelas,BR,-17.7125,-39.2481,72.93,88,1,12.82,clear sky
Nabire,ID,-3.3667,135.4833,76.32,93,93,4.0,overcast clouds
Kidal,ML,18.4411,1.4078,101.1,12,99,17.22,overcast clouds
Presidente Franco,PY,-25.5333,-54.6167,82.92,51,0,4.61,clear sky
Chernukha,RU,55.5974,43.7556,61.14,96,15,4.76,few clouds
Port Blair,IN,11.6667,92.75,83.98,74,68,8.46,broken clouds
Denpasar,ID,-8.65,115.2167,78.46,94,20,5.75,few clouds
Dera Bugti,PK,29.0307,69.151,85.91,40,0,7.16,clear sky
Saint Anthony,US,45.0205,-93.218,77.31,54,0,14.97,clear sky
Cascais,PT,38.6979,-9.4215,74.55,61,20,11.5,few clouds
Strezhevoy,RU,60.7333,77.5889,44.6,56,100,5.57,overcast clouds
Suntar,RU,62.1444,117.6319,38.7,65,32,4.16,scattered clouds
Castro,BR,-24.7911,-50.0119,65.07,67,0,4.14,clear sky
Darhan,MN,49.4867,105.9228,40.06,70,100,6.51,overcast clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,32,20,32.21,dust
Preobrazheniye,RU,42.9019,133.9064,51.46,71,100,6.17,overcast clouds
Sioux Lookout,CA,50.1001,-91.917,57.27,23,75,9.22,broken clouds
Aklavik,CA,68.2191,-135.0107,33.8,93,100,6.91,light snow
Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,74,1,7.76,clear sky
Kalabo,ZM,-14.97,22.6814,66.2,43,0,3.04,clear sky
Grindavik,IS,63.8424,-22.4338,45.07,65,75,29.93,broken clouds
Sawtell,AU,-30.3833,153.1,50.18,87,1,5.75,clear sky
Acapulco,MX,16.8634,-99.8901,89.42,62,0,11.5,clear sky
Filadelfia,US,39.9523,-75.1638,84.18,38,40,8.05,scattered clouds
Kutum,SD,14.2,24.6667,85.15,15,0,6.26,clear sky
Richards Bay,ZA,-28.783,32.0377,66.96,88,0,11.23,clear sky
